orderID,itemID,quantity,time,customerName,takeOut,price
55,9,2,07/06/2022 11:39,Lucas,no,
56,17,3,09/09/2022 20:33,James,yes,
57,15,2,04/16/2022 14:57,William,yes,
58,14,3,01/17/2022 16:30,Olivia,yes,
59,16,3,11/28/2022 05:24,Noah,no,
60,10,3,03/02/2022 18:09,Ava,no,
61,19,2,08/27/2022 07:52,Evelyn,yes,
62,4,3,12/10/2022 13:45,Isabella,yes,
63,6,2,05/04/2022 22:19,Emma,yes,
64,13,2,02/23/2022 03:05,James,no,
65,12,3,04/30/2022 19:55,Sophia,no,
66,2,3,10/14/2022 16:58,Ella,yes,
67,0,2,11/15/2022 04:12,Noah,no,
68,11,1,07/19/2022 07:37,Ava,yes,
69,8,2,09/28/2022 21:28,William,no,
70,5,2,08/06/2022 10:53,Olivia,no,
71,1,2,01/01/2022 12:37,Ella,yes,
72,19,2,03/25/2022 05:24,Oliver,no,
73,9,3,06/28/2022 19:13,Lucas,yes,
74,14,3,04/05/2022 13:46,Charlotte,yes,
75,16,2,12/31/2022 10:14,Isabella,no,
76,10,2,07/16/2022 08:32,Sophia,yes,
77,15,3,10/08/2022 17:11,James,no,
78,7,3,05/23/2022 23:26,Evelyn,no,
79,3,1,08/17/2022 04:32,Mia,no,
80,6,2,09/19/2022 14:56,Liam,no,
81,18,3,02/12/2022 21:18,William,no,
82,8,1,11/03/2022 12:04,Isabella,yes,
83,12,2,01/26/2022 08:38,Ava,yes,
84,2,3,04/24/2022 05:47,Ella,no,
85,11,2,07/27/2022 13:35,Noah,no,
86,13,2,10/22/2022 16:20,Sophia,yes,
87,4,2,03/15/2022 06:03,Oliver,no,
88,1,3,06/21/2022 16:52,Charlotte,yes,
89,0,3,09/07/2022 15:27,James,yes,
90,5,2,05/31/2022 23:24,Emma,no,
91,16,2,12/23/2022 02:15,Mia,no,
92,14,3,08/10/2022 20:09,Evelyn,yes,
93,7,3,02/20/2022 12:30,Isabella,no,
94,10,1,04/13/2022 07:55,Lucas,no,
95,15,2,10/11/2022 09:06,William,no,
96,9,1,05/02/2022 17:44,Oliver,no,
97,18,3,01/08/2022 14:07,Olivia,no,
98,3,1,07/30/2022 11:23,Ella,yes,
99,12,2,06/04/2022 07:33,Liam,no,
100,8,2,11/27/2022 10:02,Evelyn,yes,
101,6,2,02/15/2022 03:15,Isabella,no,
102,19,2,04/03/2022 23:42,Mia,yes,
103,11,2,09/25/2022 21:30,James,yes,
104,2,1,08/08/2022 08:20,Noah,no,
105,4,2,05/10/2022 06:59,Oliver,yes,
106,17,2,12/16/2022 05:08,Sophia,yes,
107,1,2,01/23/2022 14:33,Emma,yes,
108,10,3,07/09/2022 12:26,Charlotte,no,
109,13,1,10/16/2022 03:14,Ella,no,
110,5,1,02/27/2022 19:12,William,no,
111,16,2,03/14/2022 05:31,Liam,no,
112,7,2,06/25/2022 09:02,Olivia,no,
113,0,3,11/21/2022 17:20,Ava,no,
114,9,2,09/03/2022 10:48,James,no,
115,14,2,05/20/2022 13:58,Oliver,yes,
116,12,1,12/19/2022 15:41,Isabella,yes,
117,18,2,08/01/2022 04:03,Sophia,no,
118,3,2,04/29/2022 08:47,Emma,no,
119,8,2,01/06/2022 05:55,Charlotte,yes,
120,6,3,07/15/2022 18:51,Noah,yes,
121,2,2,10/29/2022 07:24,Evelyn,no,
122,11,2,09/12/2022 19:33,Liam,no,
123,1,2,06/09/2022 12:16,Olivia,yes,
124,15,2,03/20/2022 14:28,James,no,
125,4,3,11/06/2022 06:22,Ava,yes,
126,19,1,12/04/2022 08:40,Ella,no,
127,17,3,05/05/2022 07:33,Lucas,yes,
128,10,2,08/24/2022 01:18,Isabella,no,
129,13,3,02/17/2022 10:07,William,no,
130,0,3,09/05/2022 18:59,Ella,yes,
131,5,1,07/03/2022 12:55,Evelyn,no,
132,14,2,04/08/2022 21:31,Liam,no,
133,8,2,01/10/2022 17:44,Noah,no,
134,6,2,03/27/2022 02:03,Oliver,no,
135,2,2,06/13/2022 08:37,Mia,no,
136,16,2,10/05/2022 05:04,Emma,yes,
137,7,2,12/30/2022 10:12,Charlotte,no,
138,9,2,08/18/2022 15:22,James,no,
139,3,2,09/10/2022 23:47,Sophia,yes,
140,15,2,02/26/2022 19:31,William,yes,
141,1,3,05/29/2022 21:15,Oliver,yes,
142,11,3,07/21/2022 11:09,Lucas,yes,
143,19,2,03/07/2022 05:37,Evelyn,no,
144,4,3,09/22/2022 18:54,Liam,no,
145,17,2,10/17/2022 03:59,Isabella,no,
146,10,2,01/19/2022 14:03,Olivia,no,
147,12,2,08/14/2022 09:50,Sophia,no,
148,0,3,05/16/2022 20:26,Ella,no,
149,6,1,04/12/2022 08:08,James,no,

