orderID,itemID,quantity,time,customerName,takeOut,price
45,4,1,5/26/2022 16:04,Liam,no,0
46,6,2,9/14/2022 15:36,Ava,no,0
47,18,2,2/22/2022 8:41,Mia,yes,0
48,2,3,12/15/2022 4:02,Isabella,no,0
49,11,3,6/7/2022 22:22,Oliver,yes,0
50,1,2,8/20/2022 19:03,Emma,no,0
51,5,2,10/26/2022 12:51,Olivia,no,0
52,7,3,5/15/2022 15:14,Liam,no,0
53,8,1,3/22/2022 1:47,Charlotte,no,0
54,3,3,2/9/2022 9:08,Ella,yes,0
55,9,2,7/6/2022 11:39,Lucas,no,0
56,17,3,9/9/2022 20:33,James,yes,0
57,15,2,4/16/2022 14:57,William,yes,0
58,14,3,1/17/2022 16:30,Olivia,yes,0
59,16,3,11/28/2022 5:24,Noah,no,0
60,10,3,3/2/2022 18:09,Ava,no,0
61,19,2,8/27/2022 7:52,Evelyn,yes,0
62,4,3,12/10/2022 13:45,Isabella,yes,0
63,6,2,5/4/2022 22:19,Emma,yes,0
64,13,2,2/23/2022 3:05,James,no,0
65,12,3,4/30/2022 19:55,Sophia,no,0
66,2,3,10/14/2022 16:58,Ella,yes,0
67,0,2,11/15/2022 4:12,Noah,no,0
68,11,1,7/19/2022 7:37,Ava,yes,0
69,8,2,9/28/2022 21:28,William,no,0
70,5,2,8/6/2022 10:53,Olivia,no,0
71,1,2,1/1/2022 12:37,Ella,yes,0
72,19,2,3/25/2022 5:24,Oliver,no,0
73,9,3,6/28/2022 19:13,Lucas,yes,0
74,14,3,4/5/2022 13:46,Charlotte,yes,0
75,16,2,12/31/2022 10:14,Isabella,no,0
76,10,2,7/16/2022 8:32,Sophia,yes,0
77,15,3,10/8/2022 17:11,James,no,0
78,7,3,5/23/2022 23:26,Evelyn,no,0
79,3,1,8/17/2022 4:32,Mia,no,0
80,6,2,9/19/2022 14:56,Liam,no,0
81,18,3,2/12/2022 21:18,William,no,0
82,8,1,11/3/2022 12:04,Isabella,yes,0
83,12,2,1/26/2022 8:38,Ava,yes,0
84,2,3,4/24/2022 5:47,Ella,no,0
85,11,2,7/27/2022 13:35,Noah,no,0
86,13,2,10/22/2022 16:20,Sophia,yes,0
87,4,2,3/15/2022 6:03,Oliver,no,0
88,1,3,6/21/2022 16:52,Charlotte,yes,0
89,0,3,9/7/2022 15:27,James,yes,0
90,5,2,5/31/2022 23:24,Emma,no,0
91,16,2,12/23/2022 2:15,Mia,no,0
92,14,3,8/10/2022 20:09,Evelyn,yes,0
93,7,3,2/20/2022 12:30,Isabella,no,0
94,10,1,4/13/2022 7:55,Lucas,no,0
95,15,2,10/11/2022 9:06,William,no,0
96,9,1,5/2/2022 17:44,Oliver,no,0
97,18,3,1/8/2022 14:07,Olivia,no,0
98,3,1,7/30/2022 11:23,Ella,yes,0
99,12,2,6/4/2022 7:33,Liam,no,0
100,8,2,11/27/2022 10:02,Evelyn,yes,0
101,6,2,2/15/2022 3:15,Isabella,no,0
102,19,2,4/3/2022 23:42,Mia,yes,0
103,11,2,9/25/2022 21:30,James,yes,0
104,2,1,8/8/2022 8:20,Noah,no,0
105,4,2,5/10/2022 6:59,Oliver,yes,0
106,17,2,12/16/2022 5:08,Sophia,yes,0
107,1,2,1/23/2022 14:33,Emma,yes,0
108,10,3,7/9/2022 12:26,Charlotte,no,0
109,13,1,10/16/2022 3:14,Ella,no,0
110,5,1,2/27/2022 19:12,William,no,0
111,16,2,3/14/2022 5:31,Liam,no,0
112,7,2,6/25/2022 9:02,Olivia,no,0
113,0,3,11/21/2022 17:20,Ava,no,0
114,9,2,9/3/2022 10:48,James,no,0
115,14,2,5/20/2022 13:58,Oliver,yes,0
116,12,1,12/19/2022 15:41,Isabella,yes,0
117,18,2,8/1/2022 4:03,Sophia,no,0
118,3,2,4/29/2022 8:47,Emma,no,0
119,8,2,1/6/2022 5:55,Charlotte,yes,0
120,6,3,7/15/2022 18:51,Noah,yes,0
121,2,2,10/29/2022 7:24,Evelyn,no,0
122,11,2,9/12/2022 19:33,Liam,no,0
123,1,2,6/9/2022 12:16,Olivia,yes,0
124,15,2,3/20/2022 14:28,James,no,0
125,4,3,11/6/2022 6:22,Ava,yes,0
126,19,1,12/4/2022 8:40,Ella,no,0
127,17,3,5/5/2022 7:33,Lucas,yes,0
128,10,2,8/24/2022 1:18,Isabella,no,0
129,13,3,2/17/2022 10:07,William,no,0
130,0,3,9/5/2022 18:59,Ella,yes,0
131,5,1,7/3/2022 12:55,Evelyn,no,0
132,14,2,4/8/2022 21:31,Liam,no,0
133,8,2,1/10/2022 17:44,Noah,no,0
134,6,2,3/27/2022 2:03,Oliver,no,0
135,2,2,6/13/2022 8:37,Mia,no,0
136,16,2,10/5/2022 5:04,Emma,yes,0
137,7,2,12/30/2022 10:12,Charlotte,no,0
138,9,2,8/18/2022 15:22,James,no,0
139,3,2,9/10/2022 23:47,Sophia,yes,0
140,15,2,2/26/2022 19:31,William,yes,0
141,1,3,5/29/2022 21:15,Oliver,yes,0
142,11,3,7/21/2022 11:09,Lucas,yes,0
143,19,2,3/7/2022 5:37,Evelyn,no,0
144,4,3,9/22/2022 18:54,Liam,no,0
145,17,2,10/17/2022 3:59,Isabella,no,0
146,10,2,1/19/2022 14:03,Olivia,no,0
147,12,2,8/14/2022 9:50,Sophia,no,0
148,0,3,5/16/2022 20:26,Ella,no,0
149,6,1,4/12/2022 8:08,James,no,0
